id,price_doc
30474,5303573.5
30475,8125258.0
30476,5183063.5
30477,5756288.5
30478,4972729.0
30479,9025185.0
30480,4214456.0
30481,4212197.5
30482,4679534.5
30483,4691769.5
30484,6308157.5
30485,4879101.0
30486,3592381.5
30487,3745674.0
30488,6078113.0
30489,6128103.5
30490,22340572.0
30491,19508366.0
30492,5690408.5
30493,13234533.0
30494,6720835.5
30495,10616756.0
30496,8284708.0
30497,8278879.0
30498,4537559.0
30499,8056723.5
30500,10953601.0
30501,6861671.5
30502,2988343.0
30503,6508860.0
30504,5626291.0
30505,11299258.0
30506,3195148.5
30507,4679753.5
30508,5346332.0
30509,7447997.0
30510,9164741.0
30511,6516114.0
30512,6155885.5
30513,4190269.5
30514,3412124.25
30515,9665653.0
30516,5789641.0
30517,11060376.0
30518,8138077.0
30519,4430980.0
30520,6911209.5
30521,5686643.5
30522,7531696.5
30523,6418652.0
30524,10586647.0
30525,11517787.0
30526,4852271.5
30527,4964502.5
30528,6542740.0
30529,6576602.5
30530,6249226.0
30531,14274232.0
30532,4698015.5
30533,10754757.0
30534,6607312.5
30535,9429186.0
30536,5827292.0
30537,11397528.0
30538,4809127.5
30539,8752265.0
30540,9616738.0
30541,6048120.5
30542,2080624.375
30543,5540722.5
30544,6610539.5
30545,8482808.0
30546,4091984.5
30547,9653805.0
30548,4482138.5
30549,5037006.0
30550,11986270.0
30551,5064871.5
30552,1786164.5
30553,7022697.0
30554,10756583.0
30555,6191506.0
30556,9018078.0
30557,7046123.0
30558,9389595.0
30559,6105627.5
30560,6065328.0
30561,6721618.0
30562,12356570.0
30563,4917532.5
30564,7104163.5
30565,6516039.5
30566,6937948.0
30567,1929091.625
30568,9814270.0
30569,9645137.0
30570,6661065.0
30571,7430856.0
30572,4804296.0
30573,6405346.5
30574,5854575.5
30575,7412793.0
30576,4799130.5
30577,4047722.5
30578,3216046.75
30579,6902139.5
30580,4379078.0
30581,5463380.5
30582,12573561.0
30583,6792365.5
30584,4271558.5
30585,2509527.75
30586,9106716.0
30587,5737998.5
30588,7700671.5
30589,7164855.0
30590,12443180.0
30591,5290580.5
30592,6274092.0
30593,7642187.5
30594,6776280.5
30595,5384324.0
30596,6459710.0
30597,6405346.5
30598,9509831.0
30599,10439686.0
30600,5045260.5
30601,5803084.5
30602,1696257.5
30603,12097943.0
30604,4526046.0
30605,6634944.0
30606,23719398.0
30607,6779952.5
30608,8607006.0
30609,6128034.0
30610,2934735.5
30611,5436364.5
30612,7073438.0
30613,8613420.0
30614,16588619.0
30615,7343240.5
30616,5542683.5
30617,9187318.0
30618,4939958.5
30619,4229809.0
30620,2556504.0
30621,8891416.0
30622,7526117.5
30623,6225516.0
30624,6704837.5
30625,8016883.0
30626,6149138.5
30627,7204376.0
30628,6332648.0
30629,5259350.5
30630,4675970.0
30631,6066027.5
30632,4081543.25
30633,5827475.0
30634,11388205.0
30635,9573418.0
30636,5301682.0
30637,9521065.0
30638,5825730.0
30639,7532321.5
30640,4544046.5
30641,8055617.0
30642,6482538.0
30643,7694850.0
30644,9506004.0
30645,7287005.5
30646,5191711.5
30647,4685469.5
30648,23056068.0
30649,2082262.0
30650,4964701.5
30651,3312102.75
30652,4425397.5
30653,7120748.0
30654,4414333.0
30655,12596581.0
30656,3931711.75
30657,6331495.0
30658,10622792.0
30659,4673937.0
30660,8418376.0
30661,6595099.5
30662,8241186.5
30663,16603592.0
30664,11925589.0
30665,6105033.5
30666,2478531.5
30667,4156233.5
30668,8856456.0
30669,4923947.5
30670,2409139.75
30671,7050506.0
30672,15626425.0
30673,10206530.0
30674,11285516.0
30675,2009900.0
30676,6676278.0
30677,4219587.5
30678,19569598.0
30679,5657881.0
30680,5034047.5
30681,2392423.5
30682,8819202.0
30683,9513986.0
30684,4582757.0
30685,7348803.0
30686,9412188.0
30687,4998127.0
30688,4406064.0
30689,14270938.0
30690,24935880.0
30691,4392161.0
30692,5861329.5
30693,11434675.0
30694,5537283.5
30695,6906472.0
30696,6575480.5
30697,12064898.0
30698,7571378.0
30699,5844762.0
30700,4871880.5
30701,9507111.0
30702,5989881.0
30703,3777551.0
30704,11553651.0
30705,8893163.0
30706,24135102.0
30707,3508806.0
30708,13618463.0
30709,6008401.0
30710,6904832.0
30711,4585975.0
30712,4007576.0
30713,6235801.5
30714,6909311.5
30715,3877147.75
30716,9513986.0
30717,6000613.0
30718,8333115.5
30719,13853861.0
30720,7269208.5
30721,4676617.0
30722,7220140.5
30723,6077353.5
30724,12171103.0
30725,6715063.0
30726,11416543.0
30727,9673011.0
30728,11167063.0
30729,3261288.25
30730,6184643.0
30731,6353766.5
30732,4348308.0
30733,9754364.0
30734,6883175.5
30735,5479305.5
30736,5544639.0
30737,6622055.0
30738,5999365.5
30739,4245834.0
30740,6808566.0
30741,11227183.0
30742,4084062.5
30743,4918105.0
30744,9365074.0
30745,6733056.5
30746,5649971.0
30747,14132332.0
30748,16501742.0
30749,4696273.0
30750,6489942.5
30751,3196544.5
30752,7134492.5
30753,9776082.0
30754,5443160.5
30755,4905190.5
30756,6089688.0
30757,5188751.0
30758,10185215.0
30759,5771795.5
30760,4524069.0
30761,9593379.0
30762,6747481.5
30763,11914517.0
30764,6032590.0
30765,5887424.5
30766,3338643.5
30767,9628319.0
30768,4225519.5
30769,7122819.5
30770,6043894.0
30771,2715983.75
30772,8374103.5
30773,7998982.5
30774,5603672.0
30775,11951114.0
30776,5737812.5
30777,6229423.5
30778,8912912.0
30779,6482167.5
30780,7500988.0
30781,6512573.0
30782,5284197.0
30783,5616646.5
30784,3603406.0
30785,5270597.5
30786,4188184.0
30787,6079237.5
30788,5701212.5
30789,7368980.0
30790,6371023.0
30791,10065883.0
30792,6992683.5
30793,11710194.0
30794,13846649.0
30795,11069895.0
30796,11471702.0
30797,14484479.0
30798,2619586.75
30799,10290780.0
30800,13775630.0
30801,6131523.5
30802,20100352.0
30803,2724378.5
30804,3633635.5
30805,15247592.0
30806,6926108.5
30807,5943602.0
30808,10285090.0
30809,4865677.0
30810,11063394.0
30811,4310652.5
30812,5222549.5
30813,4777900.5
30814,2503535.0
30815,3722264.0
30816,7845973.5
30817,1758368.625
30818,7616503.5
30819,7874234.0
30820,5088193.0
30821,24349462.0
30822,8763875.0
30823,6912238.0
30824,3543141.75
30825,5269919.5
30826,10439387.0
30827,5504823.5
30828,5557651.5
30829,5432430.5
30830,8634375.0
30831,6455233.5
30832,5968999.0
30833,4982369.5
30834,4155674.75
30835,7572843.5
30836,6555256.0
30837,5096997.5
30838,4390745.5
30839,5810477.5
30840,10938589.0
30841,11279232.0
30842,7106359.5
30843,5264172.5
30844,6770028.0
30845,9597881.0
30846,4181056.5
30847,5824069.0
30848,8292732.0
30849,4344863.0
30850,3989455.25
30851,4988260.5
30852,6430214.0
30853,4287970.0
30854,5622944.0
30855,7385886.5
30856,8555278.0
30857,2187008.5
30858,4208660.0
30859,5902778.5
30860,5803926.0
30861,8747042.0
30862,6367190.0
30863,5454780.0
30864,6236414.0
30865,9872716.0
30866,7066304.0
30867,5753577.0
30868,8304532.0
30869,5555092.5
30870,4660126.5
30871,8304167.0
30872,4888192.5
30873,3764320.25
30874,4644508.5
30875,6937597.5
30876,4877617.0
30877,10365065.0
30878,5589117.5
30879,10392303.0
30880,6306275.0
30881,1845971.625
30882,10751967.0
30883,3657775.0
30884,5690332.0
30885,5160887.5
30886,7471424.0
30887,5585271.0
30888,4316460.5
30889,5161237.5
30890,7252949.0
30891,3411307.75
30892,3521759.75
30893,4274472.0
30894,5513187.0
30895,4255481.5
30896,6235926.0
30897,7853909.5
30898,6815595.5
30899,6658594.5
30900,3318600.25
30901,6630263.5
